"","C_b10_2","C_b11_2","C_b12_11","C_b14_3","C_b17_10","C_b17_4","C_b18_7","C_b19_12","C_b21_6","C_b22_6","C_b22_8","C_b23_8","C_b24_3","C_b5_13","C_b6_6","C_b7_6","C_b8_4","H_b10_3","H_b10_4","H_b11_3","H_b11_4","H_b12_12","H_b12_13","H_b14_4","H_b14_5","H_b17_11","H_b17_12","H_b17_5","H_b17_6","H_b18_8","H_b18_9","H_b19_13","H_b19_14","H_b21_7","H_b21_9","H_b22_10","H_b22_11","H_b22_7","H_b22_9","H_b23_10","H_b23_9","H_b24_4","H_b24_5","H_b5_14","H_b5_15","H_b6_7","H_b6_8","H_b7_7","H_b7_8","H_b8_5","H_b8_6","fd","P_value","P_value_adjust"
"CON_IPI00694107.2.SWISS.PROT.P02584",4406.54,12375.1,0,3697.62,8592.27,12325.73,13764.2,9745.32,19423.3,23503.3,6731.34,6511.27,14673.6,3809,5869.04,15321.6,9346.73,3029.02,5264.41,3897.68,3186.1,6158.65,3957.15,2447.595,5316.63,3704.48,6283.43,688.691,3406.78,3413.79,4926.57,5434.98,5080.65,760.29,7270.04,4993.71,4947.52,3628.36,10299.4,8848.94,6533.14,6160.12,6721.79,3231.22,893.226,2758.25,2221.32,2779.94,5829.81,1661.02,2822.75,-1.19532789947655,0.00168826350740141,0.0175533150975023
"O00154",4621.11,5401.955,5659.75,3479.36,2358.91,5046.255,1122.89,850.732,7268.79,9532.72,24400.6,6689.46,12491.9,6136.17,3362.33,7630.21,6302.2,6536.19,5241.35,766.212,0,0,0,475.1335,1731.62,529.389,0,2932.41,0,595.201,0,2722.23,836.79,0,779.772,2861.1,6568.22,4563.13,3250.56,5855.51,350.097,6603.08,2945.12,1962.64,0,5586.56,0,0,6265.22,278.09,0,-1.67779384335286,0.00379476780802531,0.0311938133533344
"O00299",37019.7,41196.85,45682.1,52196.2,12934.6,26723.95,53515.5,40529,43032.5,89148.2,41914.3,31003.2,73341.6,24203.4,53506.1,48992.2,32645.9,18532.2,84299,66679.1,19813,4613.87,5260.61,23336.55,17754.8,27683.8,34539,9739.4,3622.37,77927.6,6702.41,19889.9,17177.8,8782.92,37104,18977.4,16381.4,67837.8,36030.6,32189.3,12617.1,14925.2,16836.8,31415.5,5401.19,28058.4,20390.3,9093.56,17865.3,10363,22920.4,-0.823693979202698,0.00164548241502407,0.0172847312770433
"O00571",7654.635,21789.6,6279.27,4739.57,9243.55,11691.595,7429.57,15387.3,9012.95,10849.9,17898.8,13397.8,10826.5,11279.3,11735.9,9669.13,8033.805,2931.44,12046.7,10073.6,12265.2,2932.81,3137.07,3975.115,10363.8,4709.13,7207.33,1681.42,3733.6,5630.36,1803.43,4429.13,4345.95,15080.8,5991.74,9465.85,7970.6,11800.8,13175.8,17262.5,9805.5,9655.88,5391.76,11305.6,3732.72,12876.3,7856.51,3277.53,6131.76,3725.79,4879.34,-0.576723850310032,0.00711283589778697,0.0479879328570694
"O15143",3986.355,13028.05,3753.14,3880.8,3299.57,2250,11467.9,3269.58,14784.2,13634.5,6601.16,13807.3,12007.5,7192.97,6797.28,8818.14,13529.3,1035.97,4199.69,1428.83,3843.6,1167.35,2076.73,5488.52,1612.08,1878.18,1378.39,631.585,245.124,904.991,1749.03,3831.1,1327.47,1103.81,5975.77,4803,5447.97,5316,14021.8,13322.8,6002.58,3056.595,7333.06,1395.92,2351.52,7471.23,4917.82,4184.86,1861.07,1107.98,2359.03,-1.1870036749433,0.000818412009438785,0.0103242334930311
"O15144",12202.02,16743.3,11357.2,19454.3,5225.06,13027.7,27922.7,17091.6,20570.1,32440.1,20069,27063.3,36105.4,15774.1,13070.8,13994,27780.85,16356,6841.89,4212.27,18357,6990.87,7115.84,11119.81,2619.53,3368.56,12644.2,771.001,7115.74,473.801,4089.19,11423.3,3098.24,4737.55,17705,9366.34,4570.38,8793.87,27379.5,29394.1,22106.6,7310.775,14477.5,6437.93,8158.33,3479.31,23810,11551.4,1791.66,5772.06,5966.87,-1.00212307727897,0.000333207389179648,0.00551791436481497
"O15145",9761.98,21047.85,5548.7,19092.6,22583.9,9189.095,21740.9,6210.18,16579.2,33486.3,10463.4,9128.04,23133.1,12463.4,20418.5,26614.6,9796.755,6904.45,8887.59,11969.5,5830.93,3358.56,5597.79,11274.975,5272.47,6354.55,2950.18,3384.4,2278.74,0,8926.1,12832.5,4257.27,4081.9,15675.8,4341.33,6309.68,18305.6,25663.5,19836.9,12832.8,7025.355,20491.8,13842.6,3533.83,8213.55,22430.8,6296.54,1670.43,6747.8,11333.6,-0.84496162158292,0.00313385579966137,0.0268824806458193
"O15400",1927.435,3211.8075,2645.19,5238.99,1708.05,3902.16,2287.24,5363.01,8249.67,7206.61,5475.22,10748.2,4699.46,16385,3964.75,1990.34,2214.54,1326.99,2063.23,0,0,468.602,0,0,2195.72,1521.67,981.578,0,0,0,618.138,2921.61,1112.67,0,5774.37,1997.74,2394.32,9275.86,5745.37,8012.93,0,877.847,2184.29,2640.22,2925.99,6869.95,1356.85,0,947.082,0,2206.04,-1.39302303382247,0.00482483181846027,0.0368662484920605
"O15460",0,2551.15,0,5065.54,1148.6,0,0,1427.63,3202.54,0,3741.04,3694.66,1788.91,0,0,0,3330.03,0,0,2005.39,0,0,0,0,695.585,0,0,0,0,0,0,0,0,0,1003.58,463.73,0,0,0,0,0,0,0,1825.67,0,0,0,0,0,0,0,-3.11415994021129,0.00577439615659855,0.0408967342101863
"O15511",19570.75,18524.8,25638.1,25043.5,11799.4,10458.975,26645.5,21422.5,25155,51098.8,19342,40637.7,26415,24242.7,25192.6,36033.7,33708.55,11812.8,12746.5,15346.8,14762.8,2751.31,3174.58,14715.005,3959.23,6732.15,5624.56,2943.28,1670.54,3403.21,6926.41,7592.69,5925.34,2657.8,21762.3,16401.5,10032.1,13668.5,29455.4,36451.1,27897.7,14895.95,16378.7,15799.2,1864.65,13486,21066.3,15178.2,7139.85,11306,10066.8,-1.12050747325957,3.31858715459458e-05,0.00113630420315968
"O15533",8511.93,25144.95,0,7978.26,9195.66,0,42912,4368.71,5899.66,29188.7,6965.29,3339.43,16048.7,6433.53,12313.4,23280.8,5659.01,2963.79,10066.8,4363,6721.33,0,0,2415.63,0,0,0,2918.01,0,0,1415.76,0,1720,0,0,7049.12,593.558,3834.15,12689.3,13415.9,569.674,3285.685,9338.42,345.293,0,4470.01,0,560.058,0,8589.94,5234.97,-2.01482893188424,0.00536994226508016,0.0394726840434712
"O43252",1013.22,4693.405,1379.51,2049.69,0,1193.51,2516.59,0,1877.66,2697.77,1921.4,2707.98,4019.91,0,2662.18,3152.47,1733.71,0,2367.72,0,0,0,0,960.646,626.367,0,0,0,0,0,0,0,521.292,0,2126.38,0,1787.14,302.852,0,0,659.345,1568.89,321.351,0,0,0,515.969,0,0,0,0,-2.51564023324765,0.000118656377420027,0.00270180571385401
"O43516",0,2023.465,0,0,1543.29,697.914,4330.42,0,4402.47,7658.99,1139.38,970.346,4962.88,0,2028.22,1218.84,2206.73,0,198.327,0,1220.41,0,0,263.03,0,0,0,0,0,0,0,0,0,0,0,817.179,0,911.003,3043.99,2367.89,0,0,7.89241,0,0,1351.54,0,0,0,0,0,-2.70452561619319,0.00714109189251808,0.0481072965658688
"O60234",0,613.625,1290.93,0,769.361,314.417,1969.03,736.315,4734.51,3283.53,1803.71,0,3327.82,1061.37,1010.23,0,1194.38,0,0,0,881.534,0,0,0,0,0,0,0,0,0,0,124.65,0,0,0,416.381,0,469.112,1493.03,2775.68,0,0,0,0,0,789.792,598.521,0,0,0,0,-2.55034853356735,0.00540637340670243,0.0395428836421827
"O60664",173.855,3345.695,2411.72,1942.35,5896.9,2638.04,2280.79,3350.39,6560.21,10136.1,372.7,10145,7589,973.862,6986.93,4703.11,3858.395,0,1617.13,854.975,0,0,1726.37,1124.87,951.189,576.608,1365.31,0,0,1814.94,0,1103.82,380.334,1730.67,2314.34,1997.28,334.552,3783.14,7088.37,3358.13,1581.69,2880.726,3966.6,1464.2,0,1670.95,2033.99,0,1268.1,1469.42,1142.28,-1.56475323440725,0.0019034550396703,0.0188442048927359
"O75083",36296.15,38690.15,22725.4,34245.8,26820,22857,46987.5,41662.1,37368.4,57966,21502.2,32484.3,29049.3,43587.7,36856.2,36431.3,36120.5,7011.99,33572.5,22550.9,20775,13084.2,12018.6,20449.35,23315,17858.5,11024.3,5871.1,13020,5542.26,16465.4,16467.3,23884.4,31918.8,15953.5,20335,21697.6,31698.9,50965.8,36757.8,45048.7,14899.7,22045.5,27781,33482.6,35611.8,37116.5,18652.3,14394.1,12822.8,29999.7,-0.655176412092441,9.61346089115562e-05,0.00239233338242201
"O75368",4138.915,11234.235,2147.83,1390.05,3080.94,1250.8375,2238.36,2367.7,8338.91,11898.6,5216.06,14733.6,13661.9,1945.75,7711.33,4761.91,3069.8,7339,1350.73,660.516,2079.31,688.757,568.588,1148.729,0,359.404,0,750.878,903.379,1495.33,311.523,1170.46,663.471,1054.86,2334.56,3115.99,1713.49,3610.14,10441.3,10239.7,3388.22,1616.025,2858.42,1876.39,1128.71,2285.38,1204.27,711.214,983.97,417.772,1387.56,-1.50572079212961,0.00434937293139566,0.034327633153511
"O75695",607.68,747.0825,870.987,409.827,345.441,939.879,791.773,578.135,1522.45,1925.41,618.189,837.814,1483.36,501.711,822.263,0,1045.6,0,0,0,669.735,0,0,165.172,0,0,167.441,0,0,545.735,0,589.955,0,0,1449.76,366.312,320.555,653.579,954.668,742.233,0,525.004,1282.91,0,0,388.469,659.672,199.383,0,648.205,0,-1.44365284893314,0.000510156447698945,0.00726016394631562
"O75718",2498.6,3397.76,1682.82,2469.8,1896.92,2759.435,2495.02,1903.55,7494.55,4958.22,6169.24,4183.95,3008.94,2086.41,0,2642.08,1626.965,0,0,0,0,0,0,0,0,0,825.097,0,0,0,0,823.52,0,2962.67,2217.86,5299.3,0,5826.41,2440.04,0,11261.1,3774.5,3766.36,0,0,1571.95,0,0,0,0,0,-1.33076902512062,0.00442115257050248,0.0347136703552902
"O95373",3361.91,3400.555,2634.8,1153.16,0,1163.8355,1301.98,1392.59,2914.26,5606.84,3432.09,1184.88,3129.48,2605.39,3387.46,4514.1,2757.77,0,4537.11,1747,1156.38,500.749,771.777,1649.8,1282.57,1331.41,0,0,0,1377.26,0,1482.55,1471.9,0,2520.9,1276.22,2708.43,5321.38,1426.45,3828.71,1123.19,1837.565,2039.47,1518.66,1396.07,1754.7,1007.15,0,1550,0,1031.02,-0.883142596258381,0.00654679706306425,0.0448332538724731
"O95466",1569.725,559.046,910.243,0,1879.3,469.9475,2418.8,728.73,3552.93,4567.67,1144.91,0,1969.18,2419.6,0,1725.69,1103.98,0,0,0,962.923,0,0,0,0,0,0,0,0,0,0,0,0,0,328.224,0,134.985,0,1726.99,505.034,0,0,807.814,1309.53,0,0,977.35,0,0,0,0,-2.88949904388434,0.000793740626358444,0.0100969128839004
"P01619",26154.4,54443.1,31252.2,68511.9,54939.3,24249.2,86206.2,18683.8,57881.8,68721.2,17254.7,57744.5,110732,63539.5,18977.7,16255.4,63103.45,21080.3,8965.68,9638.33,0,0,0,31502.35,13084.5,0,15860.4,0,0,4698.33,0,11630.9,7301.11,16183.8,43428.9,5131.14,8245.54,25999.6,0,32933,37967.9,6821.83,11163,18967.6,23407.2,41378.1,9669.57,26224.4,0,0,24619.3,-1.87934324129603,5.23819909421699e-05,0.00157978534271948
"P01876",50702.75,72818.35,10566.6,124519,25702.4,15654.2,7144.54,18697.4,137227,71346.8,11507.5,39028.5,29240.4,96706,14792.9,7531.66,85518.35,7070.51,14815.6,11598.6,4784.8,6800.77,5884.88,56828,17348.5,1686.92,5304.79,3830.22,836.875,8727.1,2095,8072.67,3203.93,16001.6,49770.3,4742.38,7705.92,20051.5,24470.7,18482.7,10819,9372.605,9808.12,11427.8,59748.3,8544.31,20458.4,18337.5,2071.88,10416.1,28093.5,-1.74288341705432,0.00507556304452965,0.0380563803359868
"P02745",0,8651.715,1903.41,4426.73,5313.02,2726.24,13895.5,4416.89,8996.44,4042.61,1952.84,3232.33,11727.1,10015.9,0,11738.4,2777.585,0,1765.95,0,2259.01,0,0,0,1993.7,0,0,0,0,0,2331.07,0,0,0,3673.74,0,0,0,4902.99,8364.05,5168.07,1886.505,2530.83,0,0,1262.89,0,2475.59,0,0,0,-2.31113850958425,0.000626464224513169,0.00857827795521796
"P02746",0,2206.405,1189.28,2659.59,1059.2,1005.6835,4962.19,432.785,4812.31,1813.58,1091.88,627.284,4089.25,2745,218.994,4320.71,555.137,0,524.836,0,1495.36,0,348.68,1288.8,0,0,661.173,0,0,341.868,0,0,0,0,1074.15,865.77,660.875,888.761,2595.28,1612.69,1291.62,0,1257.97,0,0,0,707.875,318.616,0,0,562.095,-2.03441266312135,0.00205022785915776,0.0199851206437021
"P02747",7906.87,20975.75,3723.15,9896.08,13211.9,7150.975,25994.9,8358.85,22957,10563.2,4000.95,12712.1,26366.6,19819.9,3497.99,24697.8,8423.385,0,1081.13,1964.19,9724.6,0,2051.52,11260.195,1421.53,0,3717.84,0,0,0,3776.11,269.3,1378.91,2854.39,7214.71,4043.7,2932.18,4683.29,14956,13520.2,9981.39,3820.385,9305.57,2573.85,5317.8,6025.15,4744.32,2779.83,0,3931.4,2630.91,-1.73899330547515,0.000205354619148302,0.00389645946545941
"P02788",13762.35,5757.745,60379.7,1943.84,37598.1,66918.4,42306.3,70419.8,105148,1450.93,25790.3,17702.4,8435.42,74454,58534.6,0,211416.5,533.078,7495.92,0,63435.4,0,279.657,3636.875,0,0,4299.86,1053.96,0,1451.43,332.84,3038.99,318.55,2499.99,1188.52,1167.31,2563.03,19216.5,2277.73,6926.79,5094.47,644.7075,19542.5,5165.61,2124.57,31332.2,0,1673.27,5606.05,298.281,1260.25,-3.04417420875591,0.00528397609844595,0.0391271986216632
"P04070",0,1284.71,0,1518.92,2459.27,705.012,716.632,758.375,2207.44,0,0,2400.83,0,1143.74,0,0,1229.36,0,0,0,0,0,0,0,0,0,0,0,0,0,274.642,0,0,0,0,0,0,463.094,1017.22,0,0,0,0,0,0,0,0,1539.26,0,0,0,-3.13049314747596,0.00348734185650015,0.0290867304294903
"P04075",67790.7,89145.1,121479,104213,81162.7,80565.75,54277.7,241932,68003.6,63905.2,45893.1,81583,62236,39626.8,93557.4,97024.8,113204.5,299214,102370,104538,48128,12752.7,6710.94,21671.8,7372.53,5963.84,40360.8,5702.51,0,69207.3,10524.7,31052.5,9267.89,13870.7,59226,50291,13723.7,47883.8,38622.4,77350.2,27875.5,13860.35,33556.9,58029.6,18166.3,68134.9,20664,7550.22,39625.4,35111.5,27016,-1.07897610785853,0.00240872366404627,0.0223407893402581
"P04083",16415.55,23143.55,31442.9,24489.8,22006.2,19551.55,41140.2,23265.7,61816.2,29796.1,27255.1,17997.9,35011.1,35010.2,16059.4,36795.6,31407.35,8674.29,3373.4,3516.17,20880.7,1874.34,17353.7,18537.35,3178.41,10217.3,6031.51,13721.7,5193.02,1425.4,2165.73,4699.76,2427.45,8903.31,11536.8,11958.3,7982.87,8147.74,21956.6,38188.9,12387.2,16571.25,15156.2,5450.21,7112.49,12426.3,11683.5,3502.7,3754.26,27169.8,8836.98,-1.46856994209319,2.98446773241628e-06,0.000289175873477101
"P04839",0,1582.58,8413.86,0,0,2003.275,4918.74,3077.07,6126.76,8034.65,5910.7,0,9451.16,994.085,621.414,4960.38,2469.748,0,2778.95,0,5485.02,0,122.348,0,0,0,0,0,0,0,0,593.993,0,0,1387.2,1791.85,0,1642.04,4096.19,2590.17,0,0,1744.83,0,0,642.257,333.631,0,0,0,0,-2.33537251397128,0.00318927170337776,0.0272338889214849
"P04899",2523.535,22750.15,19503.2,9838.06,18186.9,13436.8,35229,11203.2,29472,33332.9,18412.3,28038.1,30953.6,19417.8,19162.4,10449.5,21645.4,14808.2,2326.14,2170.45,9886.96,4928.7,6401,8190.12,4427.94,8580.5,2738.49,2613.65,3645.09,9747.16,4833.68,16645.1,7307.42,6495.96,12973.4,8158.3,11379.2,12750,30176.9,23901.4,23689.8,11156.2,13344.3,8163.51,7219.72,13792.6,18719.4,10868.3,5407.94,8385.43,10585.9,-0.988022952356802,0.000443869710033844,0.00654169145467354
"P05107",1996.78,2232.885,2857.61,1076.13,2276.13,2537.885,4702.02,2904.06,13027.3,7069.03,2882.05,1538.49,10523.9,6984.48,3067.7,3580.51,4816.43,0,1310.43,0,3634.63,0,0,3016.595,0,0,0,0,0,0,0,1557.43,336.168,0,4218.51,1697.09,651.494,1520.9,4135.77,5194.22,0,802.227,3701.76,1577.52,0,2461.48,0,0,0,756.828,0,-2.01817434049284,0.000905394331107068,0.0110321226798306
"P05109",13038.25,17957.6,259316,16626.2,29947.3,120980.5,31391.5,119926,137747,4437.25,26564.3,24945.5,27961.1,183327,72349.3,14741,222289.5,3104.89,12074.4,2027.4,36985.3,0,0,11206.27,3505.75,0,8233.31,0,0,0,0,10405.7,1320.9,3562.96,3966.65,1282.21,1005.3,17147.9,982.252,8048.35,2429.51,2841.65,27356.7,12137.2,15158.7,50836.8,2105.33,999.13,10016.3,1484.11,8069.95,-3.35731638782841,0.00259229886879787,0.0235635310349411
"P05164",10497.24,4025.395,72482.5,5650.33,44641.7,64880.6,17692.4,42372.6,115403,3385.72,31258.2,7452.16,12489.1,136845,27176.9,2433.13,125346.5,0,3785.92,0,69708.9,0,759.111,3988.725,0,0,9619.96,0,0,0,0,2943.85,0,3326.05,7299.95,470.916,0,15032.3,1338.25,2686.45,2303.15,0,9896.41,5052.37,766.856,20367.5,0,0,2541.7,1208.53,766.368,-3.14356193296185,0.00344993876369784,0.0289689279865323
"P06312",1114.6305,12685.9,7640.97,12788.3,4348.48,2828.31,2969.64,8370.37,12660.7,10396.1,1921.34,11165.9,23768.8,17493.3,1172.09,846.63,9271.095,0,1011.19,1514.14,0,0,0,5616.22,4104.27,1757.91,977.555,0,0,1205.07,0,2417.38,1727.77,1591.73,12938.1,0,2456.95,12110.7,1878.07,8535.81,1371.13,3011.805,5043.92,1487.97,6447.51,3596.16,3933.85,3175.8,0,1429.8,10907.5,-1.49663833010285,0.0043589640211642,0.0343438099522176
"P06396",19535.1,54849.05,44553.7,29186.4,30166.8,27928.35,40054.1,36305.1,50113.1,37919.9,31428.8,52449,43839.4,46929.2,44626.3,30366.7,56744.1,12699.2,10554.1,12130.8,22505.1,0,0,23783.9,6090.39,703.164,10986.6,2793.89,2581.79,4953.98,0,14034.8,2454.45,11206.4,19153.1,12936.9,11682.8,17205.4,30238.5,56880,23439.4,10900.65,31990.4,22282.4,9795.45,23009.8,19683.8,8000.46,9829.27,13337.8,11412.8,-1.52876560685404,2.39043000077911e-09,5.44300911177403e-06
"P06493",4271.705,3403.275,1468.97,1340.92,1194.6,1698.89,945.314,0,1350.19,2558.71,4316.69,4445.82,1042.04,6094.14,2294.21,4430.02,914.494,0,6146.2,0,616.929,0,0,0,1955.76,0,1508.08,0,0,0,0,2283.07,762.106,2715.17,824.869,0,0,3327.8,0,1745.29,0,1141.5475,506.703,3594.94,0,0,0,0,1064.74,0,0,-1.56711926199625,0.00216702885803516,0.0208639522610827
"P06702",23662.4,35780.15,288949,24108.8,85703.3,200407.5,98633.3,175789,256175,4984.55,69701,24081.9,43119,295044,114674,18217.4,321552.5,3252.29,12301.1,2955.3,61475.9,0,1468.39,32834.55,530.401,0,16564.8,0,0,0,3551.8,16845.1,2538.52,8152.17,12162,3304.49,3633.95,39397.2,3338.01,14291.8,3370.72,5833.5,45683.7,22365.2,33258.5,87094.1,3868.22,2791.09,15923.4,1391.41,13895.1,-3.13380744894156,0.000965386689719153,0.0115468398843732
"P06703",51055.85,180460.5,67624.5,166773,133117,66837.05,137204,198066,182009,55332.2,111048,189311,183194,73864.3,89155.2,32880.1,151015.5,13934.9,17859,11974.6,26306.1,2227.24,2605.22,47847.3,33054.5,0,5832.77,1932.12,3828.46,12894.9,1785.03,47527.1,35176.7,15531.8,33957.9,4682.28,11111.3,19491.7,56078.2,132280,15378,10609.265,50152.7,13093.9,45999.2,27369.3,17044,9527.12,1817.93,5346.66,25775.8,-2.44476287160913,1.29173079683226e-06,0.000158987622939841
"P07355",120758.5,147964.5,137130,202622,72260,46945.85,127324,93083,103256,44987.1,143223,131973,120171,56145.8,94473.3,129991,121151.5,6787.44,61319.5,106666,26248.6,51505.6,9790.13,62921.65,48682.2,66655,24281.2,12074.7,5193.21,83326.7,30486,66244.4,68974.1,72589.1,51191.4,44195.3,88380.9,54761.4,100766,163590,66781,42967.8,43460.7,139285,81348.5,57329.3,90234,40776.4,36483.6,63854.8,92427.8,-0.877274553760904,0.000144504655690721,0.00317910242519586
"P07437",99208.2,294761.5,266602,250264,189735,161176.5,203272,156960,173611,240831,177932,171152,237390,249353,210512,145499,172256.5,107516,140850,207998,84322,54134,72221.1,94624.85,142206,98155,52582.1,54442.2,25851.9,237283,72390.1,92805,127401,164642,135044,63902,86290.5,205109,162728,139618,117337,133387.5,107632,127517,104478,170986,158155,75632.9,119349,121893,134429,-0.768312221775782,4.05362466173522e-06,0.000318279426026589
